station,jaar,maand_id,maand,erosiviteit
KMI_6414,2020,8,Augustus,158.79
KMI_6414,2020,9,September,51.05
KMI_6414,2020,10,Oktober,47.6
KMI_6414,2020,11,November,20.78
KMI_6414,2020,12,December,23.96
KMI_6414,2021,1,Januari,46.81
KMI_6414,2021,2,Februari,13.86
KMI_6414,2021,3,Maart,15.66
KMI_6414,2021,4,April,27.94
KMI_6414,2021,5,Mei,176.74
KMI_6414,2021,6,Juni,156.71
KMI_6414,2021,7,Juli,723.76
KMI_6414,2021,8,Augustus,129.88
KMI_6414,2021,9,September,2.16
KMI_6414,2021,10,Oktober,83.46
KMI_6414,2021,11,November,62.7
KMI_6414,2021,12,December,65.1
KMI_6414,2022,1,Januari,15.98
KMI_6414,2022,2,Februari,21.89
KMI_6414,2022,3,Maart,3.27
KMI_6414,2022,4,April,50.51
KMI_6414,2022,5,Mei,31.34
KMI_6414,2022,6,Juni,37.84
KMI_6414,2022,7,Juli,0.0
KMI_6414,2022,8,Augustus,16.6
KMI_6414,2022,9,September,187.11
KMI_6414,2022,10,Oktober,25.28
KMI_6414,2022,11,November,101.31
KMI_6414,2022,12,December,40.13
KMI_6414,2023,1,Januari,54.03
KMI_6414,2023,2,Februari,3.28
KMI_6414,2023,3,Maart,65.33
KMI_6414,2023,4,April,37.37
KMI_6414,2023,5,Mei,34.14
KMI_6414,2023,6,Juni,54.49
KMI_6414,2023,7,Juli,97.33
KMI_6414,2023,8,Augustus,212.31
KMI_6414,2023,9,September,62.25
KMI_6414,2023,10,Oktober,109.89
KMI_6414,2023,11,November,221.39
KMI_6414,2023,12,December,40.81
KMI_6414,2024,1,Januari,32.87
KMI_6414,2024,2,Februari,41.14
KMI_6414,2024,3,Maart,36.11
KMI_6414,2024,4,April,89.29
KMI_6414,2024,5,Mei,179.73
KMI_6414,2024,6,Juni,105.5
KMI_6414,2024,7,Juli,99.27
KMI_6414,2024,8,Augustus,132.75
KMI_6414,2024,9,September,69.21
KMI_6414,2024,10,Oktober,26.78
KMI_6414,2024,11,November,33.55
KMI_6414,2024,12,December,25.48
KMI_6418,2006,1,Januari,0.16
KMI_6418,2006,2,Februari,15.05
KMI_6418,2006,3,Maart,4.44
KMI_6418,2006,4,April,18.79
KMI_6418,2006,5,Mei,65.41
KMI_6418,2006,6,Juni,8.9
KMI_6418,2006,7,Juli,19.86
KMI_6418,2006,8,Augustus,926.05
KMI_6418,2006,9,September,1.35
KMI_6418,2006,10,Oktober,52.17
KMI_6418,2006,11,November,23.47
KMI_6418,2006,12,December,19.33
KMI_6418,2007,1,Januari,44.23
KMI_6418,2007,2,Februari,17.18
KMI_6418,2007,3,Maart,6.11
KMI_6418,2007,4,April,0.0
KMI_6418,2007,5,Mei,30.63
KMI_6418,2007,6,Juni,466.19
KMI_6418,2007,7,Juli,351.31
KMI_6418,2007,8,Augustus,20.02
KMI_6418,2007,9,September,46.47
KMI_6418,2007,10,Oktober,17.4
KMI_6418,2007,11,November,12.42
KMI_6418,2007,12,December,13.45
KMI_6418,2008,1,Januari,5.61
KMI_6418,2008,2,Februari,1.84
KMI_6418,2008,3,Maart,37.27
KMI_6418,2008,4,April,5.99
KMI_6418,2008,5,Mei,47.95
KMI_6418,2008,6,Juni,76.55
KMI_6418,2008,7,Juli,59.8
KMI_6418,2008,8,Augustus,301.73
KMI_6418,2008,9,September,186.68
KMI_6418,2008,10,Oktober,31.33
KMI_6418,2008,11,November,36.83
KMI_6418,2008,12,December,32.6
KMI_6418,2009,1,Januari,0.39
KMI_6418,2009,2,Februari,2.82
KMI_6418,2009,3,Maart,12.44
KMI_6418,2009,4,April,5.98
KMI_6418,2009,5,Mei,151.23
KMI_6418,2009,6,Juni,60.76
KMI_6418,2009,7,Juli,243.14
KMI_6418,2009,8,Augustus,18.27
KMI_6418,2009,9,September,1.02
KMI_6418,2009,10,Oktober,256.85
KMI_6418,2009,11,November,370.28
KMI_6418,2009,12,December,81.47
KMI_6418,2010,1,Januari,4.42
KMI_6418,2010,2,Februari,10.13
KMI_6418,2010,3,Maart,3.82
KMI_6418,2010,4,April,5.33
KMI_6418,2010,5,Mei,130.62
KMI_6418,2010,6,Juni,331.56
KMI_6418,2010,7,Juli,199.72
KMI_6418,2010,8,Augustus,307.69
KMI_6418,2010,9,September,106.82
KMI_6418,2010,10,Oktober,83.74
KMI_6418,2010,11,November,37.67
KMI_6418,2010,12,December,15.81
KMI_6418,2011,1,Januari,27.31
KMI_6418,2011,2,Februari,9.98
KMI_6418,2011,3,Maart,89.24
KMI_6418,2011,4,April,5.54
KMI_6418,2011,5,Mei,12.89
KMI_6418,2011,6,Juni,86.26
KMI_6418,2011,7,Juli,82.82
KMI_6418,2011,8,Augustus,161.25
KMI_6418,2011,9,September,33.15
KMI_6418,2011,10,Oktober,56.25
KMI_6418,2011,11,November,0.46
KMI_6418,2011,12,December,77.88
KMI_6418,2012,1,Januari,183.28
KMI_6418,2012,2,Februari,3.8
KMI_6418,2012,3,Maart,6.31
KMI_6418,2012,4,April,23.89
KMI_6418,2012,5,Mei,13.34
KMI_6418,2012,6,Juni,157.76
KMI_6418,2012,7,Juli,139.66
KMI_6418,2012,8,Augustus,36.86
KMI_6418,2012,9,September,104.46
KMI_6418,2012,10,Oktober,192.74
KMI_6418,2012,11,November,30.3
KMI_6418,2012,12,December,40.09
KMI_6418,2013,1,Januari,19.1
KMI_6418,2013,2,Februari,22.61
KMI_6418,2013,3,Maart,32.31
KMI_6418,2013,4,April,5.59
KMI_6418,2013,5,Mei,233.25
KMI_6418,2013,6,Juni,682.97
