station,jaar,periode,erosiviteit
KMI_6414,2015,18,19.24
KMI_6414,2015,19,10.77
KMI_6414,2015,20,0.79
KMI_6414,2015,21,16.52
KMI_6414,2015,22,74.1
KMI_6414,2015,23,19.6
KMI_6414,2015,24,4.22
KMI_6414,2016,1,57.88
KMI_6414,2016,2,15.93
KMI_6414,2016,3,21.35
KMI_6414,2016,4,6.26
KMI_6414,2016,5,36.97
KMI_6414,2016,6,21.87
KMI_6414,2016,7,26.51
KMI_6414,2016,8,6.33
KMI_6414,2016,9,27.7
KMI_6414,2016,10,603.92
KMI_6414,2016,11,8.18
KMI_6414,2016,12,85.34
KMI_6414,2016,13,52.64
KMI_6414,2016,14,0.12
KMI_6414,2016,15,30.6
KMI_6414,2016,16,3.85
KMI_6414,2016,17,0.65
KMI_6414,2016,18,47.08
KMI_6414,2016,19,8.8
KMI_6414,2016,20,69.44
KMI_6414,2016,21,22.77
KMI_6414,2016,22,100.99
KMI_6414,2016,23,0.95
KMI_6414,2016,24,3.94
KMI_6414,2017,1,28.47
KMI_6414,2017,2,4.68
KMI_6414,2017,3,10.03
KMI_6414,2017,4,18.58
KMI_6414,2017,5,19.24
KMI_6414,2017,6,2.26
KMI_6414,2017,7,0.0
KMI_6414,2017,8,4.69
KMI_6414,2017,9,2.94
KMI_6414,2017,10,306.91
KMI_6414,2017,11,2.62
KMI_6414,2017,12,0.0
KMI_6414,2017,13,11.44
KMI_6414,2017,14,4.7
KMI_6414,2017,15,87.57
KMI_6414,2017,16,32.45
KMI_6414,2017,17,18.85
KMI_6414,2017,18,16.4
KMI_6414,2017,19,4.19
KMI_6414,2017,20,24.7
KMI_6414,2017,21,15.53
KMI_6414,2017,22,105.67
KMI_6414,2017,23,85.93
KMI_6414,2017,24,26.48
KMI_6414,2018,1,22.03
KMI_6414,2018,2,27.16
KMI_6414,2018,3,4.69
KMI_6414,2018,4,0.24
KMI_6414,2018,5,34.01
KMI_6414,2018,6,5.58
KMI_6414,2018,7,33.06
KMI_6414,2018,8,14.33
KMI_6414,2018,9,3.99
KMI_6414,2018,10,116.53
KMI_6414,2018,11,0.0
KMI_6414,2018,12,0.0
KMI_6414,2018,13,0.0
KMI_6414,2018,14,0.53
KMI_6414,2018,15,119.59
KMI_6414,2018,16,44.68
KMI_6414,2018,17,2.39
KMI_6414,2018,18,68.39
KMI_6414,2018,19,1.35
KMI_6414,2018,20,30.67
KMI_6414,2018,21,2.96
KMI_6414,2018,22,2.12
KMI_6414,2018,23,28.24
KMI_6414,2018,24,7.99
KMI_6414,2019,1,4.23
KMI_6414,2019,2,24.79
KMI_6414,2019,3,11.32
KMI_6414,2019,4,5.12
KMI_6414,2019,5,38.19
KMI_6414,2019,6,6.15
KMI_6414,2019,7,6.46
KMI_6414,2019,8,0.72
KMI_6414,2019,9,9.38
KMI_6414,2019,10,23.77
KMI_6414,2019,11,57.56
KMI_6414,2019,12,262.04
KMI_6414,2019,13,0.0
KMI_6414,2019,14,39.71
KMI_6414,2019,15,131.4
KMI_6414,2019,16,4.2
KMI_6414,2019,17,16.71
KMI_6414,2019,18,230.76
KMI_6414,2019,19,69.23
KMI_6414,2019,20,15.0
KMI_6414,2019,21,46.33
KMI_6414,2019,22,7.86
KMI_6414,2019,23,35.77
KMI_6414,2019,24,15.32
KMI_6414,2020,1,4.88
KMI_6414,2020,2,7.89
KMI_6414,2020,3,68.97
KMI_6414,2020,4,18.9
KMI_6414,2020,5,39.9
KMI_6414,2020,6,0.75
KMI_6414,2020,7,0.0
KMI_6414,2020,8,44.2
KMI_6414,2020,9,0.65
KMI_6414,2020,10,0.0
KMI_6414,2020,11,8.34
KMI_6414,2020,12,54.49
KMI_6414,2020,13,3.56
KMI_6414,2020,14,2.11
KMI_6414,2020,15,39.78
KMI_6414,2020,16,119.01
KMI_6414,2020,17,0.46
KMI_6414,2020,18,50.59
KMI_6414,2020,19,30.5
KMI_6414,2020,20,17.1
KMI_6414,2020,21,6.95
KMI_6414,2020,22,13.83
KMI_6414,2020,23,2.65
KMI_6414,2020,24,21.32
KMI_6414,2021,1,18.47
KMI_6414,2021,2,28.34
KMI_6414,2021,3,13.42
KMI_6414,2021,4,0.44
KMI_6414,2021,5,8.88
KMI_6414,2021,6,6.78
KMI_6414,2021,7,3.4
KMI_6414,2021,8,24.54
KMI_6414,2021,9,119.37
KMI_6414,2021,10,57.37
KMI_6414,2021,11,96.85
KMI_6414,2021,12,59.86
KMI_6414,2021,13,70.79
KMI_6414,2021,14,652.97
KMI_6414,2021,15,68.13
KMI_6414,2021,16,61.75
KMI_6414,2021,17,0.68
KMI_6414,2021,18,1.48
KMI_6414,2021,19,31.23
KMI_6414,2021,20,52.23
KMI_6414,2021,21,17.03
KMI_6414,2021,22,45.67
KMI_6414,2021,23,14.23
KMI_6414,2021,24,50.87
KMI_6414,2022,1,15.36
KMI_6414,2022,2,0.62
KMI_6414,2022,3,10.3
KMI_6414,2022,4,11.59
KMI_6414,2022,5,0.0
KMI_6414,2022,6,3.27
KMI_6414,2022,7,13.79
KMI_6414,2022,8,36.71
KMI_6414,2022,9,0.0
KMI_6414,2022,10,31.34
KMI_6414,2022,11,26.48
KMI_6414,2022,12,11.36
KMI_6414,2022,13,0.0
KMI_6414,2022,14,0.0
